product,count
Microsoft Windows 10,204
Microsoft Windows 11,384
Adobe Acrobat Reader,404
Google Chrome,185
Mozilla Firefox,79
Apple macOS,200
Linux Kernel,477
Oracle Java,386
Cisco IOS,139
VMware ESXi,164
WordPress,444
Drupal,162
Apache HTTP Server,151
NGINX,357
MySQL,126
PostgreSQL,272
MongoDB,289
Kubernetes,17
Docker,28
OpenSSL,391
MySQL Product 1,245
Apache Product 2,323
PostgreSQL Product 3,465
Adobe Product 4,276
Google Product 5,389
MongoDB Product 6,201
Oracle Product 7,62
MySQL Product 8,145
PostgreSQL Product 9,426
Linux Product 10,270
Google Product 11,126
Linux Product 12,469
Adobe Product 13,182
MongoDB Product 14,119
Microsoft Product 15,45
Microsoft Product 16,355
Oracle Product 17,378
VMware Product 18,221
Linux Product 19,150
Cisco Product 20,296
PostgreSQL Product 21,421
VMware Product 22,471
Oracle Product 23,332
PostgreSQL Product 24,449
Linux Product 25,157
MongoDB Product 26,211
Microsoft Product 27,29
Google Product 28,94
Apache Product 29,70
Apple Product 30,409
