date,name,value
1999-01,mitre,1574
1999-01,redhat,5
2000-01,mitre,2811
2000-01,redhat,10
2001-01,mitre,4351
2001-01,sgi,7
2001-01,redhat,15
2001-01,certcc,4
2002-01,mitre,6724
2002-01,certcc,14
2002-01,redhat,22
2002-01,sgi,10
2003-01,mitre,8238
2003-01,certcc,25
2003-01,debian,10
2003-01,redhat,31
2003-01,sgi,13
2003-01,ibm,3
2003-01,apple,2
2003-01,adobe,2
2004-01,mitre,10906
2004-01,debian,30
2004-01,redhat,40
2004-01,freebsd,4
2004-01,sgi,16
2004-01,certcc,27
2004-01,canonical,1
2005-01,mitre,15142
2005-01,redhat,313
2005-01,debian,160
2005-01,microsoft,49
2005-01,apple,35
2005-01,certcc,53
2005-01,freebsd,12
2005-01,sgi,21
2005-01,VulDB,3
2005-01,adobe,4
2005-01,symantec,1
2005-01,microfocus,1
2006-01,mitre,21635
2006-01,redhat,601
2006-01,microsoft,230
2006-01,debian,217
2006-01,flexera,50
2006-01,certcc,76
2006-01,apple,54
2006-01,freebsd,26
2006-01,sgi,33
2006-01,symantec,2
2006-01,apache,1
2006-01,microfocus,2
2006-01,VulDB,4
2006-01,canonical,2
2007-01,mitre,27655
2007-01,redhat,864
2007-01,microsoft,371
2007-01,certcc,144
2007-01,flexera,105
2007-01,canonical,14
2007-01,freebsd,31
2007-01,sgi,38
2007-01,cisco,5
2007-01,VulDB,7
2007-01,oracle,1
2007-01,apple,55
2007-01,adobe,5
2008-01,mitre,34018
2008-01,redhat,1169
2008-01,microsoft,581
2008-01,oracle,97
2008-01,cisco,85
2008-01,flexera,159
2008-01,certcc,180
2008-01,hp,9
2008-01,canonical,20
2008-01,VulDB,11
2008-01,freebsd,35
2008-01,microfocus,5
2008-01,jpcert,3
2008-01,debian,218
2009-01,mitre,38095
2009-01,redhat,1556
2009-01,microsoft,784
2009-01,oracle,212
2009-01,cisco,166
2009-01,flexera,201
2009-01,certcc,218
2009-01,adobe,38
2009-01,hp,29
2009-01,sgi,48
2009-01,canonical,26
2009-01,VulDB,15
2009-01,mozilla,4
2009-01,microfocus,8
2009-01,freebsd,37
2009-01,dell,2
2009-01,jpcert,4
2009-01,ibm,4
2009-01,symantec,3
2010-01,mitre,41060
2010-01,redhat,2253
2010-01,oracle,538
2010-01,microsoft,1098
2010-01,apple,328
2010-01,adobe,219
2010-01,cisco,284
2010-01,hp,144
2010-01,flexera,273
2010-01,certcc,255
2010-01,jpcert,37
2010-01,canonical,51
2010-01,VulDB,26
2010-01,sgi,58
2010-01,dell,11
2010-01,symantec,12
2010-01,freebsd,39
2010-01,microfocus,9
2010-01,apache,2
2010-01,icscert,1
2010-01,airbus,1
2011-01,mitre,43119
2011-01,redhat,3199
2011-01,oracle,808
2011-01,microsoft,1357
2011-01,Chrome,239
2011-01,apple,554
2011-01,adobe,429
2011-01,cisco,444
2011-01,hp,284
2011-01,certcc,361
2011-01,jpcert,112
2011-01,flexera,311
2011-01,canonical,81
2011-01,dell,36
2011-01,mozilla,15
2011-01,sgi,68
2011-01,ibm,14
2011-01,microfocus,17
2011-01,VulDB,32
2011-01,freebsd,42
2011-01,symantec,14
2011-01,isc,1
2011-01,debian,219
2011-01,CPANSec,1
2012-01,mitre,45082
2012-01,redhat,4650
2012-01,oracle,1223
2012-01,cisco,710
2012-01,apple,819
2012-01,ibm,252
2012-01,certcc,588
2012-01,microsoft,1557
2012-01,Chrome,409
2012-01,adobe,570
2012-01,hp,394
2012-01,icscert,104
2012-01,jpcert,212
2012-01,dell,86
2012-01,debian,265
2012-01,canonical,111
2012-01,mozilla,44
2012-01,flexera,336
2012-01,VulDB,48
2012-01,vmware,3
2012-01,microfocus,20
2012-01,apache,4
2012-01,symantec,16
2012-01,Wordfence,1
2013-01,mitre,46923
2013-01,redhat,6107
2013-01,oracle,1774
2013-01,microsoft,2027
2013-01,ibm,707
2013-01,cisco,1088
2013-01,Chrome,608
2013-01,apple,994
2013-01,mozilla,215
2013-01,adobe,730
2013-01,certcc,737
2013-01,hp,529
2013-01,jpcert,338
2013-01,icscert,227
2013-01,flexera,447
2013-01,dell,141
