date,name,value
2023-01,1E,6
2024-01,1E,7
2025-01,1E,8
2018-01,360ST,1
2019-01,360ST,3
2020-01,360ST,6
2023-01,3DS,15
2024-01,3DS,39
2025-01,3DS,66
2023-01,42Gears,3
2024-01,9front,1
2021-01,@huntr_ai,10
2022-01,@huntr_ai,12
2023-01,@huntr_ai,65
2024-01,@huntr_ai,689
2025-01,@huntr_ai,742
2021-01,@huntrdev,206
2022-01,@huntrdev,1047
2023-01,@huntrdev,1606
2019-01,ABB,26
2020-01,ABB,66
2021-01,ABB,81
2022-01,ABB,105
2023-01,ABB,123
2024-01,ABB,218
2025-01,ABB,232
2023-01,AHA,7
2024-01,AHA,12
2025-01,AHA,28
2020-01,AMD,198
2021-01,AMD,314
2022-01,AMD,333
2023-01,AMD,416
2024-01,AMD,451
2025-01,AMD,455
2023-01,AMI,30
2024-01,AMI,42
2025-01,AMI,43
2024-01,AMZN,10
2025-01,AMZN,27
2021-01,ARTICA,6
2022-01,ARTICA,10
2023-01,ASR,3
2024-01,ASR,8
2025-01,ASR,18
2023-01,ASRG,42
2024-01,ASRG,66
2025-01,ASRG,68
2024-01,ASUS,4
2025-01,ASUS,10
2022-01,ASUSTOR1,1
2023-01,ASUSTOR1,10
2025-01,ASUSTOR1,12
2025-01,ATIS,1
2024-01,Absolute,14
2025-01,Absolute,21
2021-01,Acronis,10
2022-01,Acronis,44
2023-01,Acronis,98
2024-01,Acronis,130
2025-01,Acronis,145
2023-01,AlgoSec,2
2020-01,Alias,29
2022-01,Anolis,6
2024-01,Anolis,22
2025-01,Anolis,23
2021-01,AppCheck,4
2022-01,AppCheck,6
2023-01,AppCheck,8
2024-01,AppCheck,13
2021-01,Arista,18
2022-01,Arista,19
2023-01,Arista,30
2024-01,Arista,52
2025-01,Arista,58
2022-01,Arm,3
2023-01,Arm,19
2024-01,Arm,37
2025-01,Arm,44
2025-01,Armis,1
2017-01,Axis,5
2021-01,Axis,9
2022-01,Axis,10
2023-01,Axis,28
2024-01,Axis,54
2025-01,Axis,66
2023-01,B.Braun,1
2025-01,B.Braun,4
2022-01,BD,7
2023-01,BD,21
2024-01,BD,22
2025-01,BECLS,1
2023-01,BLSOPS,2
2025-01,BLSOPS,5
2024-01,BT,10
2025-01,BT,13
2023-01,Baicells,5
2022-01,Baidu,2
2023-01,Baidu,25
2022-01,Baxter,6
2024-01,Baxter,18
2019-01,Bitdefender,11
2020-01,Bitdefender,80
2021-01,Bitdefender,94
2022-01,Bitdefender,104
2023-01,Bitdefender,130
2024-01,Bitdefender,140
2025-01,Bitdefender,144
2024-01,BlackDuck,10
2022-01,CERT-In,6
2023-01,CERT-In,40
2024-01,CERT-In,92
2025-01,CERT-In,110
2023-01,CERT-PL,32
2024-01,CERT-PL,121
2025-01,CERT-PL,159
2015-01,CERTVDE,1
2017-01,CERTVDE,2
2018-01,CERTVDE,6
2019-01,CERTVDE,7
2020-01,CERTVDE,43
2021-01,CERTVDE,145
