date,value
1999-09-01,321
2000-01-01,503
2000-02-01,910
2000-03-01,980
2000-04-01,1092
2000-05-01,1104
2000-06-01,1178
2000-07-01,1333
2000-08-01,1348
2000-09-01,1396
2000-10-01,1680
2000-11-01,1733
2000-12-01,1789
2001-01-01,2021
2001-02-01,2082
2001-03-01,2121
2001-04-01,2166
2001-05-01,2458
2001-07-01,2519
2001-08-01,2544
2001-09-01,3034
2001-10-01,3079
2001-11-01,3115
2002-01-01,3118
2002-02-01,3235
2002-03-01,3806
2002-04-01,3816
2002-05-01,4039
2002-06-01,4400
2002-07-01,4479
2002-08-01,4684
2002-09-01,4705
2002-10-01,4750
2002-11-01,4783
2002-12-01,4814
2003-01-01,4837
2003-02-01,4855
2003-03-01,4993
2003-04-01,5390
2003-05-01,5511
2003-06-01,5623
2003-07-01,5715
2003-08-01,5787
2003-09-01,5892
2003-10-01,5968
2003-11-01,6015
2003-12-01,6052
2004-01-01,6120
2004-02-01,6142
2004-03-01,6319
2004-04-01,6380
2004-05-01,6433
2004-06-01,6553
2004-07-01,6674
2004-08-01,6732
2004-09-01,7297
2004-10-01,7378
2004-11-01,7431
2004-12-01,7679
2005-01-01,7854
2005-02-01,8681
2005-03-01,9187
2005-04-01,9705
2005-05-01,10566
2005-06-01,11227
2005-07-01,11820
2005-08-01,12404
2005-09-01,12720
2005-10-01,13073
2005-11-01,13789
2005-12-01,14482
2006-01-01,14996
2006-02-01,15526
2006-03-01,16116
2006-04-01,16752
2006-05-01,17379
2006-06-01,18030
2006-07-01,18563
2006-08-01,19121
2006-09-01,19683
2006-10-01,20237
2006-11-01,20751
2006-12-01,21427
2007-01-01,22157
2007-02-01,22790
2007-03-01,23430
2007-04-01,24062
2007-05-01,24637
2007-06-01,25220
2007-07-01,25814
2007-08-01,26347
2007-09-01,26800
2007-10-01,27784
2007-11-01,28270
2007-12-01,28719
2008-01-01,29221
2008-02-01,29760
2008-03-01,30282
2008-04-01,30741
2008-05-01,31129
2008-06-01,31567
2008-07-01,32089
2008-08-01,32463
2008-09-01,32918
2008-10-01,33461
2008-11-01,33894
2008-12-01,34424
2009-01-01,34893
2009-02-01,35582
2009-03-01,36148
2009-04-01,36718
2009-05-01,37085
2009-06-01,37537
2009-07-01,37986
2009-08-01,38517
2009-09-01,39093
2009-10-01,39446
2009-11-01,39757
2009-12-01,40202
2010-01-01,40521
2010-02-01,40829
2010-03-01,41344
2010-04-01,41864
2010-05-01,42272
2010-06-01,42765
2010-07-01,43109
2010-08-01,43492
2010-09-01,43793
2010-10-01,44228
2010-11-01,44508
2010-12-01,44869
2011-01-01,45266
2011-02-01,45648
2011-03-01,46004
2011-04-01,46316
2011-05-01,46612
2011-06-01,46906
2011-07-01,47214
2011-08-01,47509
2011-09-01,47898
2011-10-01,48382
2011-11-01,48694
2011-12-01,49041
2012-01-01,49357
2012-02-01,49706
2012-03-01,50111
2012-04-01,50339
2012-05-01,50773
2012-06-01,51186
2012-07-01,51722
2012-08-01,52463
2012-09-01,53118
2012-10-01,53677
2012-11-01,54122
2012-12-01,54392
2013-01-01,54835
2013-02-01,55245
2013-03-01,55691
2013-04-01,56125
2013-05-01,56483
2013-06-01,56853
2013-07-01,57353
2013-08-01,57713
2013-09-01,58188
2013-10-01,58822
2013-11-01,59221
2013-12-01,59715
2014-01-01,60293
2014-02-01,60738
2014-03-01,61283
2014-04-01,61959
2014-05-01,62514
2014-06-01,62962
2014-07-01,63618
2014-08-01,64025
2014-09-01,65181
2014-10-01,66599
2014-11-01,67102
2014-12-01,67720
2015-01-01,68457
2015-02-01,68950
2015-03-01,69407
2015-04-01,69965
2015-05-01,70381
2015-06-01,70879
2015-07-01,71520
2015-08-01,72145
2015-09-01,72644
2015-10-01,73374
2015-11-01,73741
2015-12-01,74308
2016-01-01,74978
2016-02-01,75372
2016-03-01,75704
2016-04-01,76365
2016-05-01,76982
2016-06-01,77495
2016-07-01,78211
2016-08-01,78623
2016-09-01,79220
2016-10-01,79917
2016-11-01,80305
2016-12-01,80832
2017-01-01,81973
2017-02-01,83048
2017-03-01,84421
2017-04-01,86011
2017-05-01,90165
2017-06-01,91208
2017-07-01,92520
2017-08-01,94084
2017-09-01,95317
2017-10-01,96748
2017-11-01,97825
2017-12-01,98943
2018-01-01,100657
2018-02-01,101998
2018-03-01,104302
2018-04-01,105985
2018-05-01,107176
2018-06-01,108980
2018-07-01,111198
2018-08-01,112240
2018-09-01,113431
2018-10-01,114905
2018-11-01,115894
2018-12-01,117096
2019-01-01,118739
2019-02-01,119622
2019-03-01,121264
2019-04-01,122840
2019-05-01,124164
2019-06-01,125419
2019-07-01,127065
2019-08-01,129115
2019-09-01,130656
2019-10-01,132388
2019-11-01,134168
2019-12-01,136034
2020-01-01,138004
2020-02-01,139488
2020-03-01,141274
2020-04-01,143482
2020-05-01,144540
2020-06-01,146417
2020-07-01,147869
2020-08-01,149113
2020-09-01,150749
2020-10-01,152354
2020-11-01,153821
2020-12-01,155393
2021-01-01,157334
2021-02-01,158825
2021-03-01,160411
2021-04-01,162339
2021-05-01,163868
2021-06-01,165783
2021-07-01,167395
2021-08-01,169642
2021-09-01,171559
2021-10-01,173281
2021-11-01,174924
2021-12-01,177367
2022-01-01,179543
2022-02-01,181559
2022-03-01,183655
2022-04-01,185709
