date,value
1999-09-01,320
2000-01-01,502
2000-02-01,879
2000-03-01,949
2000-04-01,1061
2000-05-01,1073
2000-06-01,1147
2000-07-01,1302
2000-08-01,1317
2000-09-01,1365
2000-10-01,1648
2000-11-01,1701
2000-12-01,1757
2001-01-01,1989
2001-02-01,2050
2001-03-01,2089
2001-04-01,2134
2001-05-01,2426
2001-07-01,2487
2001-08-01,2512
2001-09-01,2999
2001-10-01,3044
2001-11-01,3080
2002-01-01,3083
2002-02-01,3200
2002-03-01,3770
2002-04-01,3780
2002-05-01,4002
2002-06-01,4362
2002-07-01,4441
2002-08-01,4645
2002-09-01,4666
2002-10-01,4709
2002-11-01,4742
2002-12-01,4770
2003-01-01,4792
2003-02-01,4808
2003-03-01,4944
2003-04-01,5341
2003-05-01,5462
2003-06-01,5574
2003-07-01,5664
2003-08-01,5734
2003-09-01,5839
2003-10-01,5910
2003-11-01,5956
2003-12-01,5993
2004-01-01,6061
2004-02-01,6083
2004-03-01,6259
2004-04-01,6320
2004-05-01,6372
2004-06-01,6488
2004-07-01,6609
2004-08-01,6666
2004-09-01,7229
2004-10-01,7308
2004-11-01,7360
2004-12-01,7605
2005-01-01,7779
2005-02-01,8600
2005-03-01,9098
2005-04-01,9604
2005-05-01,10460
2005-06-01,11111
2005-07-01,11699
2005-08-01,12276
2005-09-01,12588
2005-10-01,12930
2005-11-01,13632
2005-12-01,14313
2006-01-01,14822
2006-02-01,15346
2006-03-01,15931
2006-04-01,16563
2006-05-01,17172
2006-06-01,17818
2006-07-01,18350
2006-08-01,18904
2006-09-01,19461
2006-10-01,20012
2006-11-01,20523
2006-12-01,21198
2007-01-01,21923
2007-02-01,22553
2007-03-01,23185
2007-04-01,23816
2007-05-01,24386
2007-06-01,24961
2007-07-01,25548
2007-08-01,26077
2007-09-01,26525
2007-10-01,27495
2007-11-01,27973
2007-12-01,28409
2008-01-01,28907
2008-02-01,29440
2008-03-01,29960
2008-04-01,30416
2008-05-01,30802
2008-06-01,31239
2008-07-01,31759
2008-08-01,32132
2008-09-01,32582
2008-10-01,33122
2008-11-01,33554
2008-12-01,34082
2009-01-01,34548
2009-02-01,35233
2009-03-01,35786
2009-04-01,36353
2009-05-01,36717
2009-06-01,37167
2009-07-01,37613
2009-08-01,38140
2009-09-01,38714
2009-10-01,39066
2009-11-01,39374
2009-12-01,39814
2010-01-01,40133
2010-02-01,40441
2010-03-01,40954
2010-04-01,41470
2010-05-01,41872
2010-06-01,42362
2010-07-01,42705
2010-08-01,43085
2010-09-01,43382
2010-10-01,43816
2010-11-01,44094
2010-12-01,44453
2011-01-01,44849
2011-02-01,45226
2011-03-01,45581
2011-04-01,45893
2011-05-01,46188
2011-06-01,46482
2011-07-01,46789
2011-08-01,47083
2011-09-01,47470
2011-10-01,47954
2011-11-01,48263
2011-12-01,48603
2012-01-01,48917
2012-02-01,49260
2012-03-01,49663
2012-04-01,49891
2012-05-01,50316
2012-06-01,50721
2012-07-01,51257
2012-08-01,51992
2012-09-01,52647
2012-10-01,53200
2012-11-01,53636
2012-12-01,53891
2013-01-01,54330
2013-02-01,54735
2013-03-01,55173
2013-04-01,55603
2013-05-01,55959
2013-06-01,56320
2013-07-01,56806
2013-08-01,57163
2013-09-01,57617
2013-10-01,58200
2013-11-01,58594
2013-12-01,59078
2014-01-01,59636
2014-02-01,60078
2014-03-01,60618
2014-04-01,61283
2014-05-01,61833
2014-06-01,62278
2014-07-01,62931
2014-08-01,63332
2014-09-01,64478
2014-10-01,65891
2014-11-01,66392
2014-12-01,67006
2015-01-01,67719
2015-02-01,68205
2015-03-01,68658
2015-04-01,69196
2015-05-01,69606
2015-06-01,70101
2015-07-01,70736
2015-08-01,71355
2015-09-01,71848
2015-10-01,72574
2015-11-01,72935
2015-12-01,73500
2016-01-01,74169
2016-02-01,74549
2016-03-01,74879
2016-04-01,75532
2016-05-01,76144
2016-06-01,76654
2016-07-01,77363
2016-08-01,77772
2016-09-01,78367
2016-10-01,79054
2016-11-01,79440
2016-12-01,79957
2017-01-01,81040
2017-02-01,82081
2017-03-01,83383
2017-04-01,84951
2017-05-01,85961
2017-06-01,86994
2017-07-01,88262
2017-08-01,89802
2017-09-01,91030
2017-10-01,92428
2017-11-01,93494
2017-12-01,94599
2018-01-01,95872
2018-02-01,97197
2018-03-01,98534
2018-04-01,100201
2018-05-01,101363
2018-06-01,103146
2018-07-01,105313
2018-08-01,106326
2018-09-01,107495
2018-10-01,108963
2018-11-01,109946
2018-12-01,111109
2019-01-01,112321
2019-02-01,113159
2019-03-01,114353
2019-04-01,115884
2019-05-01,117200
2019-06-01,118444
2019-07-01,120062
2019-08-01,122063
2019-09-01,123594
2019-10-01,125160
2019-11-01,126839
